regiao,estado,municipio,coduf,data,semanaEpi,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos
Sudeste,SP,Riolândia,35,2021-06-27,26,1810,0,25,0
Sudeste,SP,Rosana,35,2021-06-27,26,1157,0,39,0
Sudeste,SP,Roseira,35,2021-06-27,26,1404,0,21,0
Sudeste,SP,Rubiácea,35,2021-06-27,26,166,0,8,0
Sudeste,SP,Rubinéia,35,2021-06-27,26,359,0,6,0
Sudeste,SP,Sabino,35,2021-06-27,26,264,0,26,0
Sudeste,SP,Sagres,35,2021-06-27,26,231,0,1,0
Sudeste,SP,Sales,35,2021-06-27,26,430,0,25,0
Sudeste,SP,Sales Oliveira,35,2021-06-27,26,1658,0,26,0
Sudeste,SP,Salesópolis,35,2021-06-27,26,552,1,41,0
Sudeste,SP,Salmourão,35,2021-06-27,26,303,0,20,0
Sul,SC,Saltinho,42,2021-06-27,26,235,0,4,0
Sudeste,SP,Salto,35,2021-06-27,26,10033,66,302,0
Sudeste,SP,Salto de Pirapora,35,2021-06-27,26,3734,16,156,0
Sudeste,SP,Salto Grande,35,2021-06-27,26,755,0,7,0
Sudeste,SP,Sandovalina,35,2021-06-27,26,313,0,8,0
Sudeste,SP,Santa Adélia,35,2021-06-27,26,1473,3,55,0
Sudeste,SP,Santa Albertina,35,2021-06-27,26,571,0,20,0
Sudeste,SP,Santa Bárbara d'Oeste,35,2021-06-27,26,19109,39,630,0
Sudeste,SP,Santa Branca,35,2021-06-27,26,1041,0,30,0
Sudeste,SP,Santa Clara d'Oeste,35,2021-06-27,26,226,1,13,0
Sudeste,SP,Santa Cruz da Conceição,35,2021-06-27,26,586,0,13,0
Sudeste,SP,Santa Cruz da Esperança,35,2021-06-27,26,185,0,4,0
Sudeste,SP,Santa Cruz das Palmeiras,35,2021-06-27,26,3548,2,102,0
Sudeste,SP,Santa Cruz do Rio Pardo,35,2021-06-27,26,5699,29,133,0
Sudeste,SP,Santa Ernestina,35,2021-06-27,26,509,0,14,0
Sudeste,SP,Santa Fé do Sul,35,2021-06-27,26,4165,9,92,0
